timestamp,day,biomass,rabbits,foxes,producer_fast_grass,producer_seasonal_annuals,producer_forb_wildflowers,producer_lichen_crust,producer_slow_shrubs,producer_deep_roots,producer_moss_carpet,producer_reed_beds,producer_bog_sedges,producer_fungal_mat,producer_succulent_cluster,producer_desert_bloomers,producer_fruit_trees,producer_needle_conifers,producer_pioneer_brush,producer_vine_canopy,producer_palm_crowns,producer_mangrove_canopy
2025-12-19T12:14:28.535554Z,36,3230,31,0,1666,553,126,20,56,64,230,30,59,4,19,30,64,64,64,88,57,36
2025-12-20T12:13:03.962601Z,37,3349,30,0,1734,590,130,20,56,64,233,30,58,5,19,30,64,64,64,95,57,36
2025-12-21T12:13:29.917241Z,38,3446,27,0,1790,615,133,20,59,64,234,30,58,6,19,31,64,64,64,102,57,36
2025-12-22T12:15:53.893177Z,39,3542,28,0,1849,639,135,20,61,64,236,30,58,4,19,31,64,64,64,111,57,36
2025-12-23T12:15:30.122429Z,40,3639,26,0,1906,661,138,20,66,64,237,30,57,5,19,31,64,64,64,120,57,36
2025-12-24T12:14:43.606461Z,41,3717,29,0,1954,674,140,20,70,64,237,30,57,6,19,32,64,64,64,129,57,36
2025-12-25T12:14:48.194426Z,42,3802,32,0,1999,690,143,20,77,64,238,30,57,4,19,32,64,64,65,143,57,36
2025-12-26T12:14:37.442082Z,43,3891,32,0,2046,706,146,20,84,64,238,30,56,5,19,32,64,64,66,158,57,36
2025-12-27T12:13:09.588722Z,44,3981,32,0,2092,719,150,20,92,64,235,30,56,6,19,32,64,64,66,179,57,36
2025-12-28T12:14:06.251128Z,45,4092,33,0,2151,735,155,20,100,64,235,30,56,4,19,32,64,64,68,202,57,36
2025-12-29T12:16:08.862446Z,46,4207,34,0,2206,750,158,20,111,64,231,30,55,5,19,32,64,64,71,234,57,36
2025-12-30T12:15:21.768729Z,47,4332,36,0,2259,765,165,20,122,64,231,30,55,6,19,32,64,64,73,270,57,36
2025-12-31T12:14:50.100134Z,48,4470,38,0,2311,783,171,20,136,64,236,30,56,4,19,32,64,64,76,311,57,36
2026-01-01T12:15:03.177926Z,49,4658,36,0,2349,798,177,20,153,64,235,30,55,65,19,32,64,64,82,358,57,36
2026-01-02T12:14:44.763353Z,50,4816,35,0,2392,817,184,20,173,64,237,30,56,75,19,32,64,64,86,410,57,36
2026-01-03T12:13:52.416137Z,51,4998,34,0,2439,841,193,20,197,64,240,30,58,85,19,32,64,64,92,467,57,36
2026-01-04T12:13:49.366860Z,52,5161,31,0,2478,864,201,20,221,64,242,30,60,96,19,32,64,64,98,515,57,36
2026-01-05T12:16:18.839782Z,53,5338,31,0,2522,891,212,20,251,64,243,30,62,109,19,32,64,64,103,559,57,36
2026-01-06T12:15:28.913179Z,54,5524,30,0,2561,922,223,20,288,64,243,30,64,122,19,34,64,64,111,601,57,37
2026-01-07T12:15:48.776599Z,55,5706,32,0,2602,950,230,20,329,64,244,30,66,135,19,35,64,64,117,643,57,37
2026-01-08T12:16:32.898243Z,56,5892,33,0,2654,985,239,20,372,64,245,30,68,149,19,3,64,64,126,695,57,38
2026-01-09T12:15:37.611158Z,57,6091,32,0,2694,1017,247,20,416,64,244,30,70,166,19,0,64,64,131,749,57,39
2026-01-10T12:13:27.005927Z,58,6296,31,0,2727,1048,253,20,457,64,245,30,72,187,19,0,64,64,138,811,57,40
2026-01-11T12:14:24.592515Z,59,6490,34,0,2753,1073,259,20,498,64,242,30,72,206,19,0,64,64,145,883,57,41
2026-01-12T12:16:04.690049Z,60,6687,36,0,2783,1095,263,20,535,64,241,30,73,224,19,0,64,64,151,962,57,42
2026-01-13T12:16:19.451908Z,61,6875,34,0,2812,1109,265,20,567,64,239,30,72,240,19,0,64,64,157,1052,57,44
2026-01-14T12:15:51.994518Z,62,7047,35,0,2830,1122,267,20,596,64,237,30,72,255,19,0,64,64,163,1142,57,45
2026-01-15T12:15:48.251336Z,63,7196,39,0,2842,1137,268,20,625,64,233,30,72,267,19,0,64,64,168,1218,57,48
2026-01-16T12:15:28.651337Z,64,7336,40,0,2856,1146,269,20,656,64,232,30,72,271,19,0,64,64,173,1294,57,49
2026-01-17T12:13:28.375720Z,65,7473,40,0,2870,1154,270,20,688,64,230,30,72,275,19,0,64,64,179,1367,57,50
2026-01-18T12:13:49.791109Z,66,7581,42,0,2878,1162,271,20,712,64,228,30,72,278,19,0,64,64,185,1426,57,51
